TTNBR,SERVICEACCTNBR,ServiceType,TROUBLECODEDESC,CONTACTDATETIME,Longitude,Latitude
498791,728344,Network,Drop - Aerial,1-May-17,-81.973431,37.01637
498792,123321,Cable,CAB-Loss of Some Channels,1-May-17,-79.98618,37.800344
498794,141260,Cable,CAB-Loss of All Channels,1-May-17,-80.268482,38.118153
498796,728773,Prospect Account,Serviceability Check - RES,1-May-17,-79.308423,37.319612
498797,668860,Network,NET-Intermittent Connection,1-May-17,-81.618627,37.696479
498798,254601,Cable,Drop Bury - Post Install,1-May-17,-80.447355,37.130944
498799,421621,Network,Drop Bury - Post Install,1-May-17,-79.529088,37.349716
498800,725705,Cable,Drop Bury - Post Install,1-May-17,-80.440886,37.163981
498802,612018,Prospect Account,Drop PRE-Bury,1-May-17,-80.56761,37.114199
498803,253620,Network,Drop Bury - Post Install,1-May-17,-80.424637,37.150436
499098,534692,Network,NET-No Internet Connection,2-May-17,-79.253452,37.320805
499099,663637,VOIP-Res-ShenTel Cable,TEL-No Dial Tone,2-May-17,-79.887954,36.99704
499100,19676,Business Phone,TEL-Miscellaneous Issue,2-May-17,-78.683674,38.649092
499101,695910,Network,NET-No Internet Connection,2-May-17,-79.226167,37.335272
499102,416660,Network - Business Cust,NET-No Internet Connection,2-May-17,-80.377404,37.132796
499104,493736,VOIP-Res-ShenTel Cable,TEL-No Dial Tone,2-May-17,-79.306783,37.319087
499107,271043,Cable,CAB-Poor Quality-All Channels,2-May-17,-82.093439,36.88959
499111,412762,VOIP-Bus ShenTel Cable,TEL-No Dial Tone,2-May-17,-79.295327,37.36618
499112,596091,Network,NET-No Internet Connection,2-May-17,-82.292718,36.86489
499113,716107,1-Res Cable Modem,NET-Intermittent Connection,2-May-17,-78.444977,38.943658
499115,729027,Prospect Account,Serviceability Check - RES,2-May-17,-78.368974,38.991709
499413,538010,Network,NET-No Internet Connection,4-May-17,-81.278088,36.894317
499415,667346,Cable,CAB-Poor Quality-One Channel,4-May-17,-80.83369,38.283017
499418,724248,VOIP-Res-ShenTel Cable,TEL-Not Receiving Calls,4-May-17,-79.388011,39.395974
499419,716393,Network-Res DSL,NET-No Internet Connection,4-May-17,-78.369377,38.994208
499420,264024,VOIP-Res-ShenTel Cable,TEL-No Dial Tone,4-May-17,-80.583027,37.156827
499421,241807,Network,NET-Intermittent Connection,4-May-17,-79.259098,37.383678
499425,720030,Cable,CAB-Loss of All Channels,4-May-17,-81.076643,36.957492
499427,724826,Cable - Business Customer,CAB-Loss of All Channels,4-May-17,-80.350288,37.138204
499428,268240,Cable,Drop Bury - Post Install,4-May-17,-79.721716,37.050387
499706,535679,Network,NET-No Internet Connection,5-May-17,-79.276597,37.355944
499708,135017,Cable,CAB-Loss of All Channels,6-May-17,-80.466326,39.076606
499712,729589,Prospect Account,Serviceability Check - RES,6-May-17,-81.587907,37.436772
499713,467422,Network,NET-No Internet Connection,6-May-17,-78.97678,37.341536
499715,679460,Cable,CAB-Loss of All Channels,6-May-17,-80.489213,39.05127
499716,334087,Network,NET-No Internet Connection,6-May-17,-79.392738,37.368659
498805,506171,VOIP-Res-ShenTel Cable,TEL-No Dial Tone,1-May-17,-81.098314,38.036332
498806,395943,Cable,Drop Bury - Post Install,1-May-17,-80.395326,37.135183
498807,409322,Network,Drop Bury - Post Install,1-May-17,-79.975495,36.972139
498808,242552,Cable,CAB-Loss of All Channels,1-May-17,-79.306227,37.399487
498809,727991,Cable,CAB-Loss of All Channels,1-May-17,-81.943836,37.023119
498810,726720,Cable,Drop Bury - Post Install,1-May-17,-79.263376,37.316635
